Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,,,,,,,,,,,,,,,,
August,1,0:30,,,,,,,,,,,,,,,,
August,1,1:00,,,,,,,,,,,,,,,,
August,1,1:30,,,,,,,,,,,,,,,,
August,1,2:00,,,,,,,,,,,,,,,,
August,1,2:30,,,,,,,,,,,,,,,,
August,1,3:00,,,,,,,,,,,,,,,,
August,1,3:30,,,,,,,,,,,,,,,,
August,1,4:00,,,,,,,,,,,,,,,,
August,1,4:30,,,,,,,,,,,,,,,,
August,1,5:00,,,,,,,,,,,,,,,,
August,1,5:30,,,,,,,,,,,,,,,,
August,1,6:00,,,,,,,,,,,,,,,,
August,1,6:30,,,,,,,,,,,,,,,,
August,1,7:00,,,,,,,,,,,,,,,,
August,1,7:30,,,,,,,,,,,,,,,,
August,1,8:00,,,,,,,,,,,,,,,,
August,1,8:30,,,,,,,,,,,,,,,,
August,1,9:00,,,,,,,,,,,,,,,,
August,1,9:30,,,,,,,,,,,,,,,,
August,1,10:00,,,,,,,,,,,,,,,,
August,1,10:30,,,,,,,,,,,,,,,,
August,1,11:00,,,,,,,,,,,,,,,,
August,1,11:30,,,,,,,,,,,,,,,,
August,1,12:00,,,,,,,,,,,,,,,,
August,1,12:30,,,,,,,,,,,,,,,,
August,1,13:00,,,,,,,,,,,,,,,,
August,1,13:30,,,,,,,,,,,,,,,,
August,1,14:00,,,,,,,,,,,,,,,,
August,1,14:30,,,,,,,,,,,,,,,,
August,1,15:00,,,,,,,,,,,,,,,,
August,1,15:30,,,,,,,,,,,,,,,,
August,1,16:00,,,,,,,,,,,,,,,,
August,1,16:30,,,,,,,,,,,,,,,,
August,1,17:00,,,,,,,,,,,,,,,,
August,1,17:30,,,,,,,,,,,,,,,,
August,1,18:00,,,,,,,,,,,,,,,,
August,1,18:30,,,,,,,,,,,,,,,,
August,1,19:00,,,,,,,,,,,,,,,,
August,1,19:30,,,,,,,,,,,,,,,,
August,1,20:00,,,,,,,,,,,,,,,,
August,1,20:30,,,,,,,,,,,,,,,,
August,1,21:00,,,,,,,,,,,,,,,,
August,1,21:30,,,,,,,,,,,,,,,,
August,1,22:00,,,,,,,,,,,,,,,,
August,1,22:30,,,,,,,,,,,,,,,,
August,1,23:00,,,,,,,,,,,,,,,,
August,1,23:30,,,,,,,,,,,,,,,,
August,2,0:00,,,,,,,,,,,,,,,,
August,2,0:30,,,,,,,,,,,,,,,,
August,2,1:00,,,,,,,,,,,,,,,,
August,2,1:30,,,,,,,,,,,,,,,,
August,2,2:00,,,,,,,,,,,,,,,,
August,2,2:30,,,,,,,,,,,,,,,,
August,2,3:00,,,,,,,,,,,,,,,,
August,2,3:30,,,,,,,,,,,,,,,,
August,2,4:00,,,,,,,,,,,,,,,,
August,2,4:30,,,,,,,,,,,,,,,,
August,2,5:00,,,,,,,,,,,,,,,,
August,2,5:30,,,,,,,,,,,,,,,,
August,2,6:00,,,,,,,,,,,,,,,,
August,2,6:30,,,,,,,,,,,,,,,,
August,2,7:00,,,,,,,,,,,,,,,,
August,2,7:30,,,,,,,,,,,,,,,,
August,2,8:00,,,,,,,,,,,,,,,,
August,2,8:30,,,,,,,,,,,,,,,,
August,2,9:00,,,,,,,,,,,,,,,,
August,2,9:30,,,,,,,,,,,,,,,,
August,2,10:00,,,,,,,,,,,,,,,,
August,2,10:30,,,,,,,,,,,,,,,,
August,2,11:00,,,,,,,,,,,,,,,,
August,2,11:30,,,,,,,,,,,,,,,,
August,2,12:00,,,,,,,,,,,,,,,,
August,2,12:30,,,,,,,,,,,,,,,,
August,2,13:00,,,,,,,,,,,,,,,,
August,2,13:30,,,,,,,,,,,,,,,,
August,2,14:00,,,,,,,,,,,,,,,,
August,2,14:30,,,,,,,,,,,,,,,,
August,2,15:00,,,,,,,,,,,,,,,,
August,2,15:30,,,,,,,,,,,,,,,,
August,2,16:00,,,,,,,,,,,,,,,,
August,2,16:30,,,,,,,,,,,,,,,,
August,2,17:00,,,,,,,,,,,,,,,,
August,2,17:30,,,,,,,,,,,,,,,,
August,2,18:00,,,,,,,,,,,,,,,,
August,2,18:30,,,,,,,,,,,,,,,,
August,2,19:00,,,,,,,,,,,,,,,,
August,2,19:30,,,,,,,,,,,,,,,,
August,2,20:00,,,,,,,,,,,,,,,,
August,2,20:30,,,,,,,,,,,,,,,,
August,2,21:00,,,,,,,,,,,,,,,,
August,2,21:30,,,,,,,,,,,,,,,,
August,2,22:00,,,,,,,,,,,,,,,,
August,2,22:30,,,,,,,,,,,,,,,,
August,2,23:00,,,,,,,,,,,,,,,,
August,2,23:30,,,,,,,,,,,,,,,,
August,3,0:00,,,,,,,,,,,,,,,,
August,3,0:30,,,,,,,,,,,,,,,,
August,3,1:00,,,,,,,,,,,,,,,,
August,3,1:30,,,,,,,,,,,,,,,,
August,3,2:00,,,,,,,,,,,,,,,,
August,3,2:30,,,,,,,,,,,,,,,,
August,3,3:00,,,,,,,,,,,,,,,,
August,3,3:30,,,,,,,,,,,,,,,,
August,3,4:00,,,,,,,,,,,,,,,,
August,3,4:30,,,,,,,,,,,,,,,,
August,3,5:00,,,,,,,,,,,,,,,,
August,3,5:30,,,,,,,,,,,,,,,,
August,3,6:00,,,,,,,,,,,,,,,,
August,3,6:30,,,,,,,,,,,,,,,,
August,3,7:00,,,,,,,,,,,,,,,,
August,3,7:30,,,,,,,,,,,,,,,,
August,3,8:00,,,,,,,,,,,,,,,,
August,3,8:30,,,,,,,,,,,,,,,,
August,3,9:00,,,,,,,,,,,,,,,,
August,3,9:30,,,,,,,,,,,,,,,,
August,3,10:00,,,,,,,,,,,,,,,,
August,3,10:30,,,,,,,,,,,,,,,,
August,3,11:00,,,,,,,,,,,,,,,,
August,3,11:30,,,,,,,,,,,,,,,,
August,3,12:00,,,,,,,,,,,,,,,,
August,3,12:30,,,,,,,,,,,,,,,,
August,3,13:00,,,,,,,,,,,,,,,,
August,3,13:30,,,,,,,,,,,,,,,,
August,3,14:00,,,,,,,,,,,,,,,,
August,3,14:30,,,,,,,,,,,,,,,,
August,3,15:00,,,,,,,,,,,,,,,,
August,3,15:30,,,,,,,,,,,,,,,,
August,3,16:00,,,,,,,,,,,,,,,,
August,3,16:30,,,,,,,,,,,,,,,,
August,3,17:00,,,,,,,,,,,,,,,,
August,3,17:30,,,,,,,,,,,,,,,,
August,3,18:00,,,,,,,,,,,,,,,,
August,3,18:30,,,,,,,,,,,,,,,,
August,3,19:00,,,,,,,,,,,,,,,,
August,3,19:30,,,,,,,,,,,,,,,,
August,3,20:00,,,,,,,,,,,,,,,,
August,3,20:30,,,,,,,,,,,,,,,,
August,3,21:00,,,,,,,,,,,,,,,,
August,3,21:30,,,,,,,,,,,,,,,,
August,3,22:00,,,,,,,,,,,,,,,,
August,3,22:30,,,,,,,,,,,,,,,,
August,3,23:00,,,,,,,,,,,,,,,,
August,3,23:30,,,,,,,,,,,,,,,,
August,4,0:00,,,,,,,,,,,,,,,,
August,4,0:30,,,,,,,,,,,,,,,,
August,4,1:00,,,,,,,,,,,,,,,,
August,4,1:30,,,,,,,,,,,,,,,,
August,4,2:00,,,,,,,,,,,,,,,,
August,4,2:30,,,,,,,,,,,,,,,,
August,4,3:00,,,,,,,,,,,,,,,,
August,4,3:30,,,,,,,,,,,,,,,,
August,4,4:00,,,,,,,,,,,,,,,,
August,4,4:30,,,,,,,,,,,,,,,,
August,4,5:00,,,,,,,,,,,,,,,,
August,4,5:30,,,,,,,,,,,,,,,,
August,4,6:00,,,,,,,,,,,,,,,,
August,4,6:30,,,,,,,,,,,,,,,,
August,4,7:00,,,,,,,,,,,,,,,,
August,4,7:30,,,,,,,,,,,,,,,,
August,4,8:00,,,,,,,,,,,,,,,,
